,agent_activation_regime,influence_error_distribution,influence_model,network_structure_model,population_size
57,synchronous,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
58,synchronous,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
59,synchronous,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
60,synchronous,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
61,synchronous,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
62,synchronous,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
63,synchronous,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
64,synchronous,"N(0, 0.1)",similarity_bias,erdos_renyi_random(N),1000
65,synchronous,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 3)",1000
66,synchronous,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 10)",1000
67,synchronous,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 3)",1000
68,synchronous,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 10)",1000
69,synchronous,"N(0, 0.1)",similarity_bias,"scale_free(N, 1)",1000
70,synchronous,"N(0, 0.1)",similarity_bias,"scale_free(N, 5)",1000
71,synchronous,"N(0, 0.1)",attractive_repulsive,erdos_renyi_random(N),1000
72,synchronous,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
73,synchronous,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
74,synchronous,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
75,synchronous,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
76,synchronous,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 1)",1000
77,synchronous,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 5)",1000
78,synchronous,"N(0, 0.1)",random_adoption,erdos_renyi_random(N),1000
79,synchronous,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 3)",1000
80,synchronous,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 10)",1000
81,synchronous,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 3)",1000
82,synchronous,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 10)",1000
83,synchronous,"N(0, 0.1)",random_adoption,"scale_free(N, 1)",1000
84,synchronous,"N(0, 0.1)",random_adoption,"scale_free(N, 5)",1000
