,agent_activation_regime,fraction_concord,fraction_left,influence_error_distribution,influence_model,network_structure_model,population_size
163,synchronous,0.75,0.25,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
164,synchronous,0.75,0.25,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
165,synchronous,0.75,0.25,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
166,synchronous,0.75,0.25,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
167,synchronous,0.75,0.25,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
168,synchronous,0.75,0.25,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
169,synchronous,0.75,0.5,none,standard_model,erdos_renyi_random(N),1000
170,synchronous,0.75,0.5,none,standard_model,"small_world(N, 0.0, 3)",1000
171,synchronous,0.75,0.5,none,standard_model,"small_world(N, 0.0, 10)",1000
172,synchronous,0.75,0.5,none,standard_model,"small_world(N, 0.66, 3)",1000
173,synchronous,0.75,0.5,none,standard_model,"small_world(N, 0.66, 10)",1000
174,synchronous,0.75,0.5,none,standard_model,"scale_free(N, 1)",1000
175,synchronous,0.75,0.5,none,standard_model,"scale_free(N, 5)",1000
176,synchronous,0.75,0.5,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
177,synchronous,0.75,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
178,synchronous,0.75,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
179,synchronous,0.75,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
180,synchronous,0.75,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
181,synchronous,0.75,0.5,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
182,synchronous,0.75,0.5,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
183,synchronous,0.75,0.5,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
184,synchronous,0.75,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
185,synchronous,0.75,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
186,synchronous,0.75,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
187,synchronous,0.75,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
188,synchronous,0.75,0.5,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
189,synchronous,0.75,0.5,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
190,random,0.25,0.0,none,standard_model,erdos_renyi_random(N),1000
191,random,0.25,0.0,none,standard_model,"small_world(N, 0.0, 3)",1000
192,random,0.25,0.0,none,standard_model,"small_world(N, 0.0, 10)",1000
193,random,0.25,0.0,none,standard_model,"small_world(N, 0.66, 3)",1000
194,random,0.25,0.0,none,standard_model,"small_world(N, 0.66, 10)",1000
195,random,0.25,0.0,none,standard_model,"scale_free(N, 1)",1000
196,random,0.25,0.0,none,standard_model,"scale_free(N, 5)",1000
197,random,0.25,0.0,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
198,random,0.25,0.0,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
199,random,0.25,0.0,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
200,random,0.25,0.0,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
201,random,0.25,0.0,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
202,random,0.25,0.0,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
